Course Code,Sections,Credits,Call_number,Class Link
MECE E3998,021,1-3,34785,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3999-20201-001/
MECE E3999,001,1-2,11916,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4058-20201-001/
MECE E4058,001,3,12320,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4058-20201-002/
MECE E4058,002,3,12338,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4100-20201-001/
MECE E4100,001,3,11917,http://www.columbia.edu/cu/bulletin/uwb/subj/IEME/E4200-20201-001/
MECE E4214,001,3,12254,http://www.columbia.edu/cu/bulletin/uwb/subj/IEME/E4200-20201-002/
MECE E4302,001,3,11918,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4214-20201-001/
MECE E4305,001,3,11919,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4302-20201-001/
MECE E4306,001,3,11920,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4305-20201-001/
MECE E4314,001,3,11921,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4306-20201-001/
MECE E4520,001,3,11922,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4314-20201-001/
MECE E4606,001,3,11925,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4520-20201-001/
MECE E4609,001,3,11926,http://www.columbia.edu/cu/bulletin/uwb/subj/EEME/E4601-20201-001/
MECE E4611,001,3,11927,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4606-20201-001/
MEIE E4810,001,3,12004,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4609-20201-001/
MECE E4998,001,1-3,11859,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4611-20201-001/
MECE E4998,002,1-3,11860,http://www.columbia.edu/cu/bulletin/uwb/subj/MEBM/E4710-20201-001/
MECE E4998,003,1-3,11861,http://www.columbia.edu/cu/bulletin/uwb/subj/MEIE/E4810-20201-001/
MECE E4998,004,1-3,11862,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-001/
MECE E4998,006,1-3,11863,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-002/
MECE E4998,007,1-3,11864,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-003/
MECE E4998,008,1-3,11858,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-004/
MECE E4998,009,1-3,11856,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-006/
MECE E4998,010,1-3,11865,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-007/
MECE E4998,011,1-3,11867,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-008/
MECE E4998,012,1-3,11868,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-009/
MECE E4998,013,1-3,11869,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-010/
MECE E4998,014,1-3,11870,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-011/
MECE E4998,016,1-3,11874,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-012/
MECE E4998,017,1-3,11875,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-013/
MECE E4998,018,1-3,11876,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-014/
MECE E4998,019,1-3,11877,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-016/
MECE E4998,021,1-3,34787,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-017/
MECE E4999,001,1,11879,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-018/
MECE E6102,001,3,12263,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-019/
MECE E6137,001,3,25309,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4998-20201-021/
MECE E6313,001,3,12264,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E4999-20201-001/
MECE E6400,001,3,11929,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6102-20201-001/
MECS E6616,001,3,36335,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6137-20201-001/
MECE E6617,001,3,36529,http://www.columbia.edu/cu/bulletin/uwb/subj/MEBM/E6310-20201-001/
